year	country_and_area	name
1999	Canada	Symphalangus syndactylus
1999	Canada	Pachycereus pringlei
1999	Canada	Pachycereus pringlei
1999	Canada	Gymnocalycium eurypleurum
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Mammillaria formosa
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Pachycereus pringlei
1999	Canada	Pachycereus pringlei
1999	Canada	Pachycereus pringlei
1999	Canada	Mammillaria formosa
1999	Canada	Pachycereus pringlei
1999	Canada	Cleistocactus smaragdiflorus
1999	Canada	Pachycereus pringlei
1999	Canada	Melocactus levitestatus
1999	Canada	Pachycereus pringlei
1999	Canada	Pachycereus pringlei
1999	Canada	Mammillaria formosa
1999	Togo	Centrochelys sulcata
1999	Ghana	Centrochelys sulcata
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Melocactus levitestatus
1999	Canada	Astrophytum myriostigma
1999	Canada	Pachycereus pringlei
1999	Canada	Pachycereus pringlei
1999	El Salvador	Centrochelys sulcata
1999	Canada	Pachycereus pringlei
1999	Canada	Mammillaria formosa
1999	Canada	Mammillaria formosa
1999	Zimbabwe	Poicephalus cryptoxanthus
1999	Canada	Mammillaria formosa
1999	Canada	Cleistocactus smaragdiflorus
1999	El Salvador	Centrochelys sulcata
1999	Togo	Poicephalus cryptoxanthus
1999	Ghana	Centrochelys sulcata
1999	Togo	Centrochelys sulcata
1999	Ghana	Centrochelys sulcata
1999	Ghana	Centrochelys sulcata
1999	Ghana	Centrochelys sulcata
1999	Sudan	Centrochelys sulcata
1999	Fiji	Hydnophora rigida
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
1999	Canada	Astrophytum myriostigma
