year,name,trade_count
1999,Ursus americanus,1566
1999,Cactaceae spp.,146
1999,Scleractinia spp.,117
1999,Canis lupus,77
1999,Crocodylus porosus,76
1999,Loxodonta africana,74
1999,Orchidaceae hybrid,64
1999,Crocodylus novaeguineae,62
1999,Orchidaceae spp.,60
1999,Panthera pardus,57
1999,Chlorocebus aethiops,50
1999,Macaca mulatta,49
1999,Macaca fascicularis,45
1999,Crocodylus niloticus,44
1999,Tridacnidae spp.,44
1999,Alligator mississippiensis,41
1999,Echinopsis spp.,41
1999,Hippopotamus amphibius,41
1999,Gymnocalycium spp.,40
1999,Equus zebra hartmannae,38
1999,Panthera leo,38
1999,Swietenia macrophylla,38
1999,Varanus niloticus,38
1999,Parodia spp.,37
1999,Damaliscus lunatus,34
1999,Stigmochelys pardalis,33
1999,Ursus maritimus,33
1999,Caiman crocodilus fuscus,31
1999,Grus canadensis,31
1999,Papio ursinus,29
1999,Ursus arctos,27
1999,Aloe spp.,26
1999,Phalaenopsis spp.,26
1999,Lobophyllia spp.,25
1999,Euphorbia spp.,24
1999,Psittacus erithacus,24
1999,Python sebae,24
1999,Lynx canadensis,23
1999,Pachycereus spp.,23
1999,Python regius,23
1999,Strombus gigas,23
1999,Tridacna maxima,23
1999,Amadina fasciata,22
1999,Astrophytum spp.,22
1999,Espostoa spp.,22
1999,Uraeginthus bengalus,22
1999,Acropora spp.,21
1999,Rebutia spp.,21
1999,Chamaeleo dilepis,20
1999,Iguana iguana,20
1999,Myrtillocactus spp.,20
1999,Paphiopedilum spp.,20
1999,Turbinaria spp.,20
1999,Estrilda melpoda,19
1999,Felidae spp.,19
1999,Kobus leche,19
1999,Neoraimondia spp.,19
1999,Weberbauerocereus spp.,19
1999,Browningia spp.,18
1999,Echinocereus spp.,18
1999,Estrilda troglodytes,18
1999,Euphyllia spp.,18
1999,Pandinus imperator,18
1999,Stenocactus spp.,18
1999,Oncidium spp.,17
1999,Pocillopora spp.,17
1999,Polaskia spp.,17
1999,Serinus mozambicus,17
1999,Thelocactus spp.,17
1999,Varanus exanthematicus,17
1999,Amazona amazonica,16
1999,Cattleya spp.,16
1999,Dionaea muscipula,16
1999,Oreocereus spp.,16
1999,Trioceros melleri,16
1999,Fungia spp.,15
1999,Tridacna derasa,15
1999,Tubipora spp.,15
1999,Cleistocactus spp.,14
1999,Eriosyce spp.,14
1999,Platygyra spp.,14
1999,Psittacus erithacus timneh,14
1999,Amazona farinosa,13
1999,Boa constrictor,13
1999,Carnegiea spp.,13
1999,Caulastraea spp.,13
1999,Dendrobium spp.,13
1999,Echinocactus spp.,13
1999,Favites spp.,13
1999,Goniopora spp.,13
1999,Hydnophora spp.,13
1999,Seriatopora spp.,13
1999,Amandava subflava,12
1999,Ara ararauna,12
1999,Chamaeleo senegalensis,12
1999,Euphorbia milii,12
1999,Pionites melanocephalus,12
1999,Schlumbergera spp.,12
1999,Stylophora spp.,12
1999,Trioceros rudis,12
1999,Trioceros werneri,12
1999,Caiman crocodilus crocodilus,11
1999,Coleocephalocereus spp.,11
1999,Cordylus tropidosternum,11
1999,Epidendrum spp.,11
1999,Favia spp.,11
1999,Galaxea spp.,11
1999,Kinixys homeana,11
1999,Ornithoptera priamus,11
1999,Panax quinquefolius,11
1999,Pectinia spp.,11
1999,Pilosocereus spp.,11
1999,Poicephalus senegalus,11
1999,Porites spp.,11
1999,Chelonoidis carbonarius,10
1999,Corallus hortulanus,10
1999,Lagonosticta senegala,10
1999,Phelsuma madagascariensis,10
1999,Plerogyra spp.,10
1999,Saguinus midas,10
1999,Stetsonia spp.,10
1999,Tridacna crocea,10
1999,Trioceros bitaeniatus,10
1999,Corallus caninus,9
1999,Elephantidae spp.,9
1999,Furcifer pardalis,9
1999,Kinixys belliana,9
1999,Lynx rufus,9
1999,Malacochersus tornieri,9
1999,Pavona spp.,9
1999,Tubastraea spp.,9
1999,Amazona ochrocephala,8
1999,Centrochelys sulcata,8
1999,Epicrates cenchria,8
1999,Euplectes orix,8
1999,Furcifer lateralis,8
1999,Haageocereus spp.,8
1999,Kinyongia fischeri,8
1999,Mammillaria spp.,8
1999,Masdevallia spp.,8
1999,Ovis ammon,8
1999,Phoeniconaias minor,8
1999,Scolymia spp.,8
1999,Tragelaphus spekii,8
1999,Acinonyx jubatus,7
1999,Ara chloropterus,7
1999,Cycadaceae spp.,7
1999,Estrilda caerulescens,7
1999,Felis silvestris,7
1999,Hirudo medicinalis,7
1999,Lepanthes spp.,7
1999,Maxillaria spp.,7
1999,Monodon monoceros,7
1999,Montipora spp.,7
1999,Ornithoptera priamus urvillianus,7
1999,Pachyseris spp.,7
1999,Pelomedusa subrufa,7
1999,Ramphastos vitellinus,7
1999,Tridacna squamosa,7
1999,Acipenser gueldenstaedtii,6
1999,Amazona autumnalis,6
1999,Cactaceae hybrid,6
1999,Catalaphyllia jardinei,6
1999,Elephas maximus,6
1999,Euphyllia glabrescens,6
1999,Merulina spp.,6
1999,Millepora spp.,6
1999,Odobenus rosmarus,6
1999,Odontoglossum spp.,6
1999,Oena capensis,6
1999,Psittacula krameri,6
1999,Ramphastos toco,6
1999,Trachyphyllia spp.,6
1999,Trioceros deremensis,6
1999,Tupinambis spp.,6
1999,Varanus albigularis,6
1999,Ara severus,5
1999,Aratinga canicularis,5
1999,Cereus spp.,5
1999,Chamaeleo gracilis,5
1999,Cheloniidae spp.,5
1999,Civettictis civetta,5
1999,Cyclamen spp.,5
1999,Falco rusticolus,5
1999,Hippopus hippopus,5
1999,Lonchura cantans,5
1999,Lonchura cucullata,5
1999,Lonchura fringilloides,5
1999,Mandingoa nitidula,5
1999,Masdevallia guttulata,5
1999,Neobuxbaumia spp.,5
1999,Papio anubis,5
1999,Phelsuma lineata,5
1999,Pionus menstruus,5
1999,Pleurothallis spp.,5
1999,Polystachya spp.,5
1999,Pteroglossus viridis,5
1999,Pytilia phoenicoptera,5
1999,Sarracenia purpurea,5
1999,Scleropages formosus,5
1999,Trachyphyllia geoffroyi,5
1999,Tupinambis teguixin,5
1999,Varanus salvator,5
1999,Vidua orientalis,5
1999,Zamiaceae spp.,5
1999,Acipenser stellatus,4
1999,Aerangis citrata,4
1999,Canis lupus monstrabilis,4
1999,Cephalophus dorsalis,4
1999,Chamaeleo jacksonii,4
1999,Cycas revoluta,4
1999,Dendrobates tinctorius,4
1999,Eretmochelys imbricata,4
1999,Escobaria spp.,4
1999,Estrilda astrild,4
1999,Furcifer oustaleti,4
1999,Goniastrea spp.,4
1999,Kinyongia tavetana,4
1999,Lonchura bicolor,4
1999,Lontra canadensis,4
1999,Mantella aurantiaca,4
1999,Matucana spp.,4
1999,Mycedium spp.,4
1999,Oophaga pumilio,4
1999,Ornithoptera goliath,4
1999,Paleosuchus palpebrosus,4
1999,Pelusios gabonensis,4
1999,Phelsuma dubia,4
1999,Ploceus cucullatus,4
1999,Prionailurus bengalensis,4
1999,Promenaea spp.,4
1999,Puma concolor,4
1999,Serinus leucopygius,4
1999,Stylaster spp.,4
1999,Trioceros fuelleborni,4
1999,Vanda spp.,4
1999,Vidua chalybeata,4
1999,Vidua macroura,4
1999,Zygopetalum spp.,4
1999,Acipenser transmontanus,3
1999,Aeranthes ramosa,3
1999,Amazona albifrons,3
1999,Amazona auropalliata,3
1999,Amazona dufresniana,3
1999,Aratinga leucophthalma,3
1999,Cacatua goffiniana,3
1999,Caiman crocodilus,3
1999,Catalaphyllia spp.,3
1999,Cebus albifrons,3
1999,Cetacea spp.,3
1999,Chamaeleo spp.,3
1999,Columba guinea,3
1999,Copiapoa spp.,3
1999,Cypripedium montanum,3
1999,Dendrobates auratus,3
1999,Deroptyus accipitrinus,3
1999,Diopsittaca nobilis,3
1999,Dracula polyphemus,3
1999,Encyclia cochleata,3
1999,Eunectes murinus,3
1999,Euphorbia abyssinica,3
1999,Euplectes afer,3
1999,Falco mexicanus,3
1999,Galanthus nivalis,3
1999,Goniopora lobata,3
1999,Hatiora spp.,3
1999,Heliofungia actiniformis,3
1999,Heliofungia spp.,3
1999,Huso huso,3
1999,Hyemoschus aquaticus,3
1999,Jumellea spp.,3
1999,Laelia anceps,3
1999,Lagonosticta rubricata,3
1999,Leptailurus serval,3
1999,Masdevallia caesia,3
1999,Melocactus spp.,3
1999,Morelia spilota,3
1999,Neolloydia spp.,3
1999,Ornithoptera victoriae,3
1999,Pachypodium spp.,3
1999,Pan troglodytes,3
1999,Pelusios niger,3
1999,Pericopsis elata,3
1999,Phaius spp.,3
1999,Phalaenopsis violacea,3
1999,Phelsuma quadriocellata,3
1999,Poicephalus gulielmi,3
1999,Ramphastos sulfuratus,3
1999,Ramphastos tucanus,3
1999,Salvator rufescens,3
1999,Sarracenia spp.,3
1999,Smaug warreni,3
1999,Streptopelia senegalensis,3
1999,Symphyllia spp.,3
1999,Tauraco spp.,3
1999,Treron waalia,3
1999,Trichocentrum spp.,3
1999,Troides oblongomaculatus,3
1999,Tubastraea faulkneri,3
1999,Turbinaria peltata,3
1999,Uromastyx dispar,3
1999,Aeranthes antennophora,2
1999,Aeranthes spp.,2
1999,Agapornis canus,2
1999,Agapornis fischeri,2
1999,Alveopora spp.,2
1999,Amazona spp.,2
1999,Anas crecca,2
1999,Angraecum bicallosum,2
1999,Angraecum germinyanum,2
1999,Angraecum magdalenae,2
1999,Angraecum praestans,2
1999,Angraecum teretifolium,2
1999,Anguloa cliftonii,2
1999,Ara macao,2
1999,Aratinga solstitialis,2
1999,Ateles geoffroyi,2
1999,Bollea spp.,2
1999,Buteo spp.,2
1999,Cacatua alba,2
1999,Cacatua galerita,2
1999,Cacatua moluccensis,2
1999,Cacatua sulphurea,2
1999,Calabaria reinhardtii,2
1999,Caracal caracal,2
1999,Caretta caretta,2
1999,Catasetum spp.,2
1999,Cattleya aurea,2
1999,Cattleya luteola,2
1999,Cattleya mendelii,2
1999,Cattleya schilleriana,2
1999,Cattleya walkeriana,2
