year,country_and_area,trade_count
2000,United States of America,14050
2000,Canada,8736
2000,Japan,5917
2000,Italy,2985
2000,Indonesia,2957
2000,Switzerland,2440
2000,Germany,1431
2000,France,1400
2000,South Africa,775
2000,Spain,761
2000,United Kingdom of Great Britain and Northern Ireland,749
2000,Netherlands,725
2000,Hong Kong,573
2000,Singapore,536
2000,Thailand,506
2000,Mexico,430
2000,Belgium,412
2000,Taiwan (Province of China),398
2000,China,345
2000,Malaysia,337
2000,Republic of Korea,335
2000,Brazil,319
2000,Colombia,310
2000,Fiji,305
2000,Zimbabwe,298
2000,New Zealand,267
2000,Austria,249
2000,Australia,243
2000,Russian Federation,242
2000,United Republic of Tanzania,229
2000,Czech Republic,215
2000,Philippines,195
2000,Senegal,190
2000,Ecuador,146
2000,United Arab Emirates,145
2000,Portugal,136
2000,Peru,125
2000,Namibia,121
2000,Madagascar,120
2000,Papua New Guinea,113
2000,Denmark,112
2000,Norway,99
2000,Tonga,96
2000,Guyana,94
2000,New Caledonia,91
2000,Belize,85
2000,Israel,84
2000,Hungary,81
2000,Argentina,78
2000,Solomon Islands,78
2000,Sri Lanka,78
2000,Sweden,77
2000,Ghana,76
2000,Guinea,75
2000,Suriname,75
2000,Viet Nam,75
2000,Benin,74
2000,Poland,67
2000,Malta,64
2000,Botswana,63
2000,Mali,55
2000,Nicaragua,51
2000,Mauritius,50
2000,Panama,50
2000,Vanuatu,49
2000,Dominican Republic,48
2000,Bahamas,42
2000,Venezuela (Bolivarian Republic of),40
2000,Romania,39
2000,Cameroon,38
2000,Ukraine,38
2000,India,37
2000,Saudi Arabia,37
2000,Turkey,37
2000,Greece,36
2000,Costa Rica,35
2000,Zambia,35
2000,Cook Islands (the),32
2000,El Salvador,32
2000,Brunei Darussalam,31
2000,Cyprus,31
2000,Slovakia,31
2000,Kuwait,30
2000,Togo,27
2000,Central African Republic,26
2000,Chile,26
2000,Guatemala,26
2000,Democratic Republic of the Congo,23
2000,Myanmar,23
2000,Pakistan,23
2000,Mozambique,21
2000,Bulgaria,19
2000,Greenland,19
2000,Monaco,19
2000,Slovenia,19
2000,Jersey,18
2000,Paraguay,16
2000,Honduras,15
2000,Kazakhstan,15
2000,Lebanon,15
2000,Cuba,14
2000,Nigeria,13
2000,Samoa,13
2000,Cayman Islands (the),12
2000,Iran (Islamic Republic of),12
2000,Marshall Islands (the),12
2000,Réunion,12
2000,Barbados,11
2000,Bermuda,11
2000,Estonia,11
2000,Finland,11
2000,Tunisia,11
2000,Bahrain,10
2000,Gabon,10
2000,Jamaica,10
2000,Qatar,10
2000,Congo,9
2000,Jordan,9
2000,Latvia,9
2000,Morocco,9
2000,Trinidad and Tobago,9
2000,Egypt,8
2000,Ireland,8
2000,Maldives,8
2000,Palau,8
2000,Sudan,8
2000,Azerbaijan,7
2000,Bolivia (Plurinational State of),7
2000,Comoros,7
2000,Croatia,7
2000,Falkland Islands (the) [Malvinas],7
2000,Iceland,7
2000,Kenya,7
2000,Lithuania,7
2000,Oman,7
2000,Isle of Man,6
2000,Luxembourg,6
2000,Mongolia,6
2000,Uruguay,6
2000,Uzbekistan,6
2000,Côte d'Ivoire,5
2000,French Polynesia,5
2000,Guernsey,5
2000,Haiti,5
2000,Puerto Rico,5
2000,Turks and Caicos Islands (the),5
2000,Andorra,4
2000,Belarus,4
2000,Aruba,3
2000,Burkina Faso,3
2000,Chad,3
2000,Korea (the Democratic People's Republic of),3
2000,Mauritania,3
2000,Uganda,3
2000,Cambodia,2
2000,Equatorial Guinea,2
2000,Eswatini,2
2000,Lao People's Democratic Republic,2
2000,Martinique,2
2000,Micronesia (Federated States of),2
2000,Niger,2
2000,San Marino,2
2000,Seychelles,2
2000,Syrian Arab Republic,2
2000,Antigua and Barbuda,1
2000,Burundi,1
2000,Djibouti,1
2000,Ethiopia,1
2000,Georgia,1
2000,Guam,1
2000,Kyrgyzstan,1
2000,Liberia,1
2000,Liechtenstein,1
2000,Macao,1
2000,North Macedonia,1
2000,Saint Kitts and Nevis,1
2000,Sierra Leone,1
2000,Tajikistan,1
2000,Turkmenistan,1
