year,name,trade_count
2000,Alligator mississippiensis,1469
2000,Caiman crocodilus,1185
2000,Python reticulatus,1105
2000,Crocodylus porosus,852
2000,Caiman crocodilus fuscus,818
2000,Ursus americanus,656
2000,Carnegiea gigantea,630
2000,Crocodylus niloticus,418
2000,Dendrobium spp.,416
2000,Varanus salvator,388
2000,Varanus niloticus,348
2000,Cactaceae spp.,342
2000,Aloe buhrii,326
2000,Aloe claviflora,316
2000,Scleractinia spp.,312
2000,Aloe microstigma,308
2000,Aloe juvenna,305
2000,Cleistocactus strausii,304
2000,Aloe striata,300
2000,Aloe aculeata,297
2000,Aloe dichotoma,293
2000,Loxodonta africana,260
2000,Orchidaceae hybrid,233
2000,Ptyas mucosus,201
2000,Echinocactus texensis,170
2000,Denmoza rhodacantha,141
2000,Tupinambis teguixin,138
2000,Python bivittatus,135
2000,Cattleya spp.,133
2000,Aloe variegata,132
2000,Cynarina lacrymalis,131
2000,Macaca fascicularis,124
2000,Acropora hyacinthus,123
2000,Caiman crocodilus crocodilus,122
2000,Phalaenopsis spp.,112
2000,Canis lupus,111
2000,Coleocephalocereus buxbaumianus,110
2000,Heliofungia actiniformis,110
2000,Orchidaceae spp.,110
2000,Austrocylindropuntia cylindrica,108
2000,Acipenser gueldenstaedtii,104
2000,Caulastraea tumida,104
2000,Astrophytum myriostigma,102
2000,Psittacus erithacus,100
2000,Panthera pardus,94
2000,Crocodylus siamensis,92
2000,Trachyphyllia geoffroyi,92
2000,Parodia spp.,91
2000,Crocodylus novaeguineae,90
2000,Salvator rufescens,84
2000,Ursus arctos,84
2000,Catalaphyllia jardinei,81
2000,Hippopotamus amphibius,81
2000,Panthera leo,80
2000,Swietenia macrophylla,77
2000,Chamaeleo calyptratus,73
2000,Cacatua galerita,71
2000,Macaca mulatta,71
2000,Astrophytum ornatum,70
2000,Cacatua sulphurea,70
2000,Python curtus,70
2000,Goniopora stokesi,69
2000,Acropora spp.,64
2000,Ara ararauna,63
2000,Equus zebra hartmannae,63
2000,Lobophyllia hemprichii,63
2000,Cetacea spp.,62
2000,Chamaeleo senegalensis,62
2000,Tridacnidae spp.,62
2000,Goniopora minor,60
2000,Iguana iguana,60
2000,Acipenser stellatus,58
2000,Mammillaria spp.,58
2000,Centrochelys sulcata,56
2000,Aratinga solstitialis,54
2000,Ceropegia woodii,54
2000,Eguchipsammia fistula,54
2000,Chlorocebus aethiops,52
2000,Galaxea fascicularis,52
2000,Agapornis roseicollis,50
2000,Goniopora lobata,50
2000,Tubipora musica,50
2000,Agapornis fischeri,49
2000,Cycas revoluta,49
2000,Turbinaria mesenterina,48
2000,Agapornis personatus,47
2000,Catalaphyllia spp.,47
2000,Falco hybrid,47
2000,Plerogyra sinuosa,47
2000,Browningia hertlingiana,46
2000,Euphyllia cristata,46
2000,Acipenser fulvescens,44
2000,Caulastraea echinulata,44
2000,Damaliscus lunatus,44
2000,Euphyllia ancora,44
2000,Oreocereus pseudofossulatus,44
2000,Turbinaria peltata,44
2000,Euphyllia glabrescens,43
2000,Oncidium spp.,41
2000,Porites cylindrica,41
2000,Plerogyra spp.,40
2000,Trachyphyllia spp.,40
2000,Tridacna maxima,40
2000,Ara chloropterus,39
2000,Lobophyllia spp.,39
2000,Weberbauerocereus winterianus,39
2000,Mustela sibirica,38
2000,Python regius,38
2000,Kobus leche,37
2000,Lonchura oryzivora,37
2000,Papio ursinus,36
2000,Turbinaria spp.,36
2000,Euphorbia spp.,35
2000,Hydnophora exesa,35
2000,Platycercus eximius,35
2000,Porites nigrescens,35
2000,Coleocephalocereus spp.,34
2000,Panax quinquefolius,34
2000,Puma concolor,34
2000,Salvator merianae,34
2000,Cactaceae hybrid,33
