scientific_name,TermTotalTrade,term
Alligator mississippiensis,111548,leather products (small)
Python reticulatus,25885,leather products (small)
Crocodylus niloticus,16930,leather products (small)
Caiman crocodilus fuscus,12650,leather products (small)
Python bivittatus,12234,leather products (small)
Varanus niloticus,10239,leather products (small)
Caiman crocodilus crocodilus,9033,leather products (small)
Ursus americanus,8045,trophies
Varanus salvator,8005,leather products (small)
Orchidaceae spp.,7859,live
Panax quinquefolius,7619,roots
Orchidaceae hybrid,7603,live
Scleractinia spp.,7336,raw corals
Macaca fascicularis,6958,specimens
Loxodonta africana,6264,ivory carvings
Crocodylus porosus,6112,leather products (small)
Ursus americanus,5410,skins
Alligator mississippiensis,4777,skins
Caiman crocodilus,3981,leather products (small)
Ursus americanus,3847,skulls
Phalaenopsis hybrid,3839,live
Acropora spp.,3678,live
Cactaceae spp.,3238,live
Trachyphyllia geoffroyi,3224,live
Crocodylus siamensis,3219,leather products (small)
Euphyllia glabrescens,3186,live
Falco hybrid,3089,live
Python reticulatus,3049,skins
Ptyas mucosus,2904,shoes
Montipora spp.,2829,live
Euphyllia ancora,2717,live
Crocodylus niloticus,2616,skins
Heliofungia actiniformis,2586,live
Phalaenopsis spp.,2550,live
Caiman crocodilus fuscus,2531,skins
Salvator merianae,2524,leather products (small)
Porites spp.,2523,live
Catalaphyllia jardinei,2506,live
Oncidium spp.,2417,live
Scleropages formosus,2398,live
Dendrobium spp.,2395,live
Goniopora spp.,2273,live
Caulastraea spp.,2234,live
Ptyas mucosus,2229,leather products (small)
Crocodylus niloticus,2222,leather products (large)
Psittacus erithacus,2199,live
Python reticulatus,2178,shoes
Ursus americanus,2081,meat
Plerogyra sinuosa,2063,live
Alligator mississippiensis,2034,leather products (large)
Lobophyllia spp.,1988,live
Caiman crocodilus crocodilus,1986,shoes
Caiman crocodilus yacare,1929,leather products (small)
Python reticulatus,1883,leather products (large)
Galaxea fascicularis,1882,live
Acipenser baerii,1881,extract
Macaca mulatta,1851,specimens
Turbinaria spp.,1847,live
Tubipora musica,1838,live
Goniopora lobata,1759,live
Goniopora stokesi,1742,live
Loxodonta africana,1740,tusks
Fungia spp.,1725,live
Scleractinia spp.,1701,live
Varanus salvator,1692,skins
Euphyllia cristata,1657,live
Falco rusticolus,1613,live
Echinocactus grusonii,1598,live
Tupinambis teguixin,1589,shoes
Favia spp.,1565,live
Cynarina lacrymalis,1556,live
Python brongersmai,1555,leather products (small)
Crocodylus novaeguineae,1540,leather products (small)
Physogyra lichtensteini,1520,live
Pleurothallis spp.,1517,live
Alligator mississippiensis,1501,skin pieces
Cyclamen spp.,1492,live
Salvator rufescens,1458,leather products (small)
Panthera leo,1449,trophies
Favites spp.,1449,live
Crocodylus porosus,1447,leather products (large)
Merulina ampliata,1415,live
Panthera pardus,1385,trophies
Iguana iguana,1385,live
Equus zebra hartmannae,1376,skins
Lobophyllia corymbosa,1330,live
Alligator mississippiensis,1317,shoes
Turbinaria peltata,1315,live
Python regius,1315,live
Dendrobium hybrid,1300,live
